,date,team,player,injury,duration,notes,long_name,position
0,12/9/10,ANA,Aaron Voros,head,55,placed on IR with broken left orbital bone,Ducks,RW
1,3/29/10,ANA,Aaron Ward,ll,59,foot injury (DTD),Ducks,RW
2,10/9/10,ANA,Andy Sutton,la,43,placed on IR with broken right thumb,Ducks,RW
4,10/26/14,ANA,Ben Lovejoy,la,47,placed on IR with hand injury,Ducks,G
6,10/5/08,ANA,Brad Larsen,torso,31,placed on IR with sports hernia,Ducks,LW
7,3/2/07,ANA,Brad May,torso,1,lower body injury (DTD),Ducks,LW
8,3/16/07,ANA,Brad May,ul,14,groin injury (DTD),Ducks,LW
9,12/18/07,ANA,Brad May,ll,8,broken right foot (out indefinitely),Ducks,LW
10,10/31/08,ANA,Brad May,ul,44,sprained knee (DTD),Ducks,LW
11,3/11/13,ANA,Brad Staubitz,torso,5,placed on IR with facial laceration,Ducks,RW
12,4/3/16,ANA,Brandon Pirri,torso,365,upper body injury (out for season),Ducks,C
13,12/31/08,ANA,Bret Hedican,torso,59,upper body injury (DTD),Ducks,LW
16,1/15/09,ANA,Brett Festerling,ul,7,knee injury (DTD),Ducks,C
17,12/5/07,ANA,Brian Sutherby,ul,359,groin injury (DTD),Ducks,C
18,1/7/14,ANA,Bryan Allen,torso,10,placed on IR with lower body injury,Ducks,LW
22,10/14/14,ANA,Bryan Allen,torso,24,placed on IR with lower body injury,Ducks,LW
26,11/26/13,ANA,Bryan Allen,torso,317,lower body injury (DTD),Ducks,LW
30,2/3/13,ANA,Cam Fowler,torso,21,placed on IR with upper body injury,Ducks,D
35,12/28/15,ANA,Cam Fowler,ul,36,placed on IR with sprained knee,Ducks,D
40,10/18/10,ANA,Cam Fowler,head,14,broken nose / stiff neck (DTD),Ducks,D
45,4/11/13,ANA,Cam Fowler,torso,8,lower body injury (DTD),Ducks,D
50,3/15/14,ANA,Cam Fowler,ul,5,sprained MCL in knee (DTD),Ducks,D
55,11/9/14,ANA,Cam Fowler,torso,50,lower body injury (DTD),Ducks,D
60,5/13/07,ANA,Chris Kunitz,la,7,broken right hand (DTD),Ducks,LW
61,6/4/07,ANA,Chris Kunitz,torso,32,abdominal injury (DTD),Ducks,LW
62,3/7/07,ANA,Chris Pronger,ll,1,toe injury (out 2-3 weeks),Ducks,D
64,9/21/07,ANA,Chris Pronger,torso,9,separated shoulder (DTD),Ducks,D
66,2/27/08,ANA,Chris Pronger,head,23,jaw injury (DTD),Ducks,D
68,2/12/16,ANA,Chris Stewart,head,41,placed on IR with jaw injury,Ducks,G
70,4/20/15,ANA,Chris Wagner,torso,21,upper body injury (DTD),Ducks,C
71,10/17/15,ANA,Clayton Stoner,torso,1,placed on IR with lower body injury,Ducks,LW
75,11/25/16,ANA,Clayton Stoner,torso,9,placed on IR with lower body injury,Ducks,LW
79,12/6/14,ANA,Corey Perry,ul,25,placed on IR with knee injury,Ducks,RW
80,3/7/08,ANA,Corey Perry,ul,9,lacerated right quadriceps tendon (out 6-8 weeks),Ducks,RW
81,3/10/12,ANA,Corey Perry,torso,35,right shoulder injury (DTD),Ducks,RW
82,12/2/11,ANA,Dan Ellis,ul,4,placed on IR with groin injury,Ducks,G
83,1/7/12,ANA,Dan Ellis,ul,91,placed on IR with groin injury,Ducks,G
84,11/27/11,ANA,Dan Ellis,ul,33,groin injury (DTD),Ducks,G
85,10/24/10,ANA,Dan Sexton,head,17,broken nose (DTD),Ducks,RW
86,10/6/14,ANA,Dany Heatley,ul,22,placed on IR with groin injury,Ducks,LW
87,11/14/14,ANA,Dany Heatley,ul,31,placed on IR with groin injury,Ducks,LW
88,3/21/16,ANA,David Perron,torso,365,shoulder injury (out for season),Ducks,LW
89,1/6/12,ANA,Devante Smith-Pelly,ll,31,placed on IR with fractured left foot,Ducks,LW
90,11/15/14,ANA,Devante Smith-Pelly,torso,5,placed on IR with upper body injury,Ducks,LW
92,2/10/08,ANA,Doug Weight,torso,4,upper body injury (DTD),Ducks,C
93,11/25/07,ANA,Drew Miller,ul,43,knee injury (DTD),Ducks,LW
94,10/13/13,ANA,Dustin Penner,torso,1,lower (CBC) / upper (Y) body injury (DTD),Ducks,LW
95,10/21/13,ANA,Dustin Penner,head,3,concussion (DTD),Ducks,LW
96,1/7/14,ANA,Dustin Penner,torso,40,upper body injury (DTD),Ducks,LW
97,9/30/13,ANA,Emerson Etem,ll,10,placed on IR with leg injury,Ducks,RW
98,12/2/14,ANA,Eric Brewer,ll,58,placed on IR with fractured foot (date 12-05 per CBC),Ducks,C
100,11/22/13,ANA,Francois Beauchemin,torso,11,placed on IR with upper body injury,Ducks,G
104,11/28/14,ANA,Francois Beauchemin,la,29,placed on IR with fractured finger,Ducks,G
108,11/15/08,ANA,Francois Beauchemin,ul,14,torn ACL in left knee (out for season),Ducks,G
112,11/21/13,ANA,Francois Beauchemin,torso,10,upper body injury (DTD),Ducks,G
116,2/9/15,ANA,Frederik Andersen,head,6,placed on IR with head injury,Ducks,G
117,4/5/14,ANA,Frederik Andersen,torso,2,upper body injury (DTD),Ducks,G
118,11/2/14,ANA,Frederik Andersen,ll,1,leg injury (DTD),Ducks,G
119,1/17/16,ANA,Frederik Andersen,torso,1,upper body injury (DTD),Ducks,G
120,4/1/16,ANA,Frederik Andersen,head,38,concussion (DTD),Ducks,G
121,11/5/11,ANA,George Parros,head,31,placed on IR with torn retina in left eye,Ducks,RW
122,1/6/12,ANA,George Parros,ul,6,placed on IR with strained groin,Ducks,RW
123,1/13/08,ANA,George Parros,ul,10,bruised right knee (DTD),Ducks,RW
124,11/1/08,ANA,George Parros,head,13,right eye injury (DTD),Ducks,RW
125,1/9/10,ANA,George Parros,la,8,hand injury (DTD),Ducks,RW
126,3/15/10,ANA,George Parros,head,11,bruised head (DTD),Ducks,RW
127,1/4/12,ANA,George Parros,ul,50,groin injury (DTD),Ducks,RW
128,2/6/13,ANA,Hampus Lindholm,head,12,placed on IR with concussion,Ducks,D
131,4/27/14,ANA,Hampus Lindholm,head,1,stiff neck (DTD),Ducks,D
134,12/19/14,ANA,Hampus Lindholm,torso,337,lower body injury (DTD),Ducks,D
137,4/2/10,ANA,Jake Newton,head,365,placed on IR with broken jaw (out for season),Ducks,D
138,10/26/13,ANA,Jakob Silfverberg,la,52,placed on IR with fractured hand (CBC CBS Y),Ducks,LW
139,1/20/17,ANA,Jakob Silfverberg,torso,45,upper body injury (DTD),Ducks,LW
140,10/11/09,ANA,James Wisniewski,torso,10,placed on IR with sprained right shoulder,Ducks,RW
143,3/13/09,ANA,James Wisniewski,torso,1,upper body injury (DTD),Ducks,RW
146,3/2/15,ANA,James Wisniewski,ll,25,left foot injury (DTD),Ducks,RW
149,10/15/11,ANA,Jason Blake,head,81,placed on IR with lacerated left forearm,Ducks,G
152,1/31/12,ANA,Jason Blake,torso,3,placed on IR with lower body injury,Ducks,G
155,1/3/11,ANA,Jason Blake,torso,10,shoulder injury (DTD),Ducks,G
158,3/4/11,ANA,Jason Blake,la,46,lacerated hand (DTD),Ducks,G
162,11/30/14,ANA,Jason LaBarbera,la,11,"placed on IR with fractured hand (date 11-30 per Y, 12-01 per CBC)",Ducks,G
163,10/21/09,ANA,Jean-Sebastien Giguere,ul,19,placed on IR with strained groin (date approximate),Ducks,G
164,9/21/07,ANA,Jean-Sebastien Giguere,torso,183,hernia (DTD),Ducks,G
165,11/2/15,ANA,Jiri Sekac,torso,45,placed on IR with lower body injury,Ducks,LW
166,11/25/09,ANA,Joffrey Lupul,back,9,placed on IR with back injury,Ducks,LW
167,10/6/10,ANA,Joffrey Lupul,back,60,placed on IR recovering from surgery on back,Ducks,LW
168,12/11/09,ANA,Joffrey Lupul,ll,13,leg injury (DTD),Ducks,LW
169,9/14/10,ANA,Joffrey Lupul,back,3,blood infection in back (DTD),Ducks,LW
170,11/2/14,ANA,John Gibson,ul,45,placed on IR with groin injury,Ducks,LW
174,2/22/17,ANA,John Gibson,torso,18,placed on IR with lower body injury,Ducks,LW
178,2/16/11,ANA,Jonas Hiller,head,35,placed on IR with fatigue/dizziness,Ducks,G
179,3/29/10,ANA,Jonas Hiller,back,1048,back spasms (DTD),Ducks,G
180,10/26/16,ANA,Jonathan Bernier,torso,16,upper body injury (DTD),Ducks,G
182,11/18/16,ANA,Joseph Cramarossa,torso,59,lower body injury (DTD),Ducks,LW
183,10/23/15,ANA,Josh Manson,torso,12,placed on IR with upper body injury,Ducks,C
185,4/16/16,ANA,Josh Manson,head,365,head injury (out for season),Ducks,C
187,1/1/09,ANA,Kent Huskins,ll,1,placed on IR with broken right foot,Ducks,LW
189,12/7/07,ANA,Kent Huskins,ul,8,bruised knee (DTD),Ducks,LW
191,10/5/15,ANA,Kenton Helgesen,ll,71,placed on IR with foot injury,Ducks,D
193,3/14/16,ANA,Kevin Bieksa,torso,281,lower body injury (DTD),Ducks,D
196,3/2/15,ANA,Korbinian Holzer,head,365,concussion (out for season),Ducks,C
198,11/29/09,ANA,Kyle Calder,head,12,placed on IR with hyphema in left eye,Ducks,LW
199,11/2/10,ANA,Kyle Chipchura,head,24,placed on IR with concussion,Ducks,C
200,11/29/10,ANA,Kyle Chipchura,head,40,concussion (DTD),Ducks,C
201,3/10/13,ANA,Kyle Palmieri,torso,11,placed on IR with upper body injury,Ducks,RW
202,12/17/14,ANA,Kyle Palmieri,torso,16,placed on IR with shoulder injury,Ducks,RW
203,3/3/13,ANA,Kyle Palmieri,torso,218,upper body injury (DTD),Ducks,RW
204,11/12/11,ANA,Lubomir Visnovsky,la,32,placed on IR with broken finger,Ducks,RW
207,4/7/10,ANA,Lubomir Visnovsky,la,5,fractured right hand (out for season),Ducks,RW
210,11/27/10,ANA,Lubomir Visnovsky,back,497,back injury (DTD),Ducks,RW
213,9/30/13,ANA,Luca Sbisa,ll,35,placed on IR with sprained left ankle,Ducks,C
216,11/23/13,ANA,Luca Sbisa,la,59,placed on IR with torn tendon in right hand,Ducks,C
219,3/12/12,ANA,Luca Sbisa,back,8,back spasms (DTD),Ducks,C
222,9/19/13,ANA,Luca Sbisa,ll,7,sprained ankle (DTD),Ducks,C
225,3/10/14,ANA,Luca Sbisa,torso,30,lower body injury (DTD),Ducks,C
228,2/2/14,ANA,Mark Fistric,torso,24,placed on IR with lower body injury,Ducks,C
232,4/13/14,ANA,Mark Fistric,torso,10,placed on IR with lower body injury,Ducks,C
236,10/31/14,ANA,Mark Fistric,torso,33,placed on IR with upper body injury,Ducks,C
240,12/10/13,ANA,Mark Fistric,torso,38,upper body injury (DTD),Ducks,C
244,12/4/13,ANA,Mathieu Perreault,torso,11,placed on IR with lower body injury,Ducks,C
245,3/5/14,ANA,Mathieu Perreault,ua,7,placed on IR with arm injury,Ducks,C
246,10/27/13,ANA,Mathieu Perreault,la,14,sprained left wrist (DTD),Ducks,C
247,1/18/14,ANA,Mathieu Perreault,torso,1,lower body injury (DTD),Ducks,C
248,2/28/14,ANA,Mathieu Perreault,ll,6,left ankle injury (DTD),Ducks,C
249,3/2/14,ANA,Mathieu Perreault,ua,5,arm injury (DTD),Ducks,C
250,4/27/14,ANA,Mathieu Perreault,torso,13,lower body injury (DTD),Ducks,C
251,9/16/07,ANA,Mathieu Schneider,ll,1,left ankle injury (out indefinitely),Ducks,RW
253,11/15/07,ANA,Mathieu Schneider,ul,1,hip injury (DTD),Ducks,RW
255,2/1/08,ANA,Mathieu Schneider,la,50,sprained wrist (DTD),Ducks,RW
257,10/27/10,ANA,Matt Beleskey,head,887,placed on IR with concussion,Ducks,LW
258,10/10/13,ANA,Matt Beleskey,torso,39,placed on IR with upper body injury,Ducks,LW
259,2/16/15,ANA,Matt Beleskey,torso,23,placed on IR with upper body injury,Ducks,LW
260,10/7/11,ANA,Matt Beleskey,torso,14,surgery on left shoulder (DTD),Ducks,LW
261,1/21/12,ANA,Matt Beleskey,la,12,swollen right hand (DTD),Ducks,LW
262,4/18/14,ANA,Matt Beleskey,torso,345,lower body injury (DTD),Ducks,LW
263,10/1/11,ANA,Matt Smaby,la,97,placed on IR with surgery on right thumb to repair torn ligament,Ducks,RW
265,12/13/09,ANA,Mike Brown,torso,58,upper body injury (DTD),Ducks,RW
266,10/5/15,ANA,Nate Thompson,torso,58,placed on IR with surgery on shoulder,Ducks,C
267,10/11/16,ANA,Nate Thompson,ll,112,placed on IR with surgery on Achilles,Ducks,C
268,2/24/15,ANA,Nate Thompson,torso,384,lower body injury (DTD),Ducks,C
269,3/25/12,ANA,Nathan Guenin,torso,365,facial injury (out for season),Ducks,LW
270,3/10/13,ANA,Nick Bonino,torso,42,placed on IR with flu / lower body injury (CBC),Ducks,C
271,1/31/14,ANA,Nick Bonino,torso,28,placed on IR with upper body injury,Ducks,C
272,12/21/10,ANA,Nick Bonino,ll,3,bruised right foot (DTD),Ducks,C
273,11/2/11,ANA,Nick Bonino,ul,11,hyper-extended knee (DTD),Ducks,C
274,3/10/12,ANA,Nick Bonino,ll,1,leg inijury (DTD),Ducks,C
275,3/20/14,ANA,Nick Bonino,torso,53,lower body injury (DTD),Ducks,C
276,11/2/16,ANA,Nick Ritchie,torso,127,upper body injury (DTD),Ducks,LW
277,10/11/16,ANA,Nicolas Kerdiles,head,108,placed on injured/non-roster list / IR with concussion,Ducks,G
279,10/14/14,ANA,Patrick Maroon,ul,17,placed on IR with sprained right knee,Ducks,LW
280,10/2/13,ANA,Peter Holland,torso,42,lower body injury (DTD),Ducks,C
281,4/25/09,ANA,Petteri Nokelainen,torso,161,upper body injury (DTD),Ducks,C
282,4/7/11,ANA,Ray Emery,torso,14,lower body injury (DTD),Ducks,G
284,11/5/15,ANA,Rickard Rakell,torso,395,upper body injury (DTD),Ducks,RW
285,1/15/08,ANA,Rob Niedermayer,ul,9,groin injury (DTD),Ducks,RW
286,4/15/08,ANA,Rob Niedermayer,head,365,concussion (out for season),Ducks,RW
287,11/20/09,ANA,Ryan Carter,ll,39,placed on IR with broken right foot,Ducks,C
288,2/21/08,ANA,Ryan Carter,la,3,broken wrist (out indefinitely),Ducks,C
289,10/21/09,ANA,Ryan Carter,ll,23,bruised foot (DTD) / out indefinitely (CBC),Ducks,C
290,12/29/10,ANA,Ryan Getzlaf,head,3,placed on IR with nasal sinus fractures,Ducks,C
291,10/25/07,ANA,Ryan Getzlaf,head,5,forearm injury (DTD),Ducks,C
292,3/22/08,ANA,Ryan Getzlaf,torso,12,shoulder injury (DTD),Ducks,C
293,10/21/08,ANA,Ryan Getzlaf,head,1,mouth injury (DTD),Ducks,C
294,12/26/09,ANA,Ryan Getzlaf,ll,11,lacerated leg (DTD),Ducks,C
295,4/4/13,ANA,Ryan Getzlaf,torso,14,lower body injury (DTD),Ducks,C
296,1/12/14,ANA,Ryan Getzlaf,ll,3,foot injury (DTD),Ducks,C
297,4/23/14,ANA,Ryan Getzlaf,torso,985,upper body injury (DTD),Ducks,C
298,4/1/15,ANA,Ryan Kesler,torso,375,upper body injury (DTD),Ducks,C
299,2/27/11,ANA,Saku Koivu,ul,10,placed on IR with groin injury,Ducks,C
300,12/14/11,ANA,Saku Koivu,torso,17,placed on IR with lower body injury,Ducks,C
301,10/28/13,ANA,Saku Koivu,head,32,placed on IR with concussion,Ducks,C
302,11/11/09,ANA,Saku Koivu,torso,1,lower body injury (DTD),Ducks,C
303,1/15/10,ANA,Saku Koivu,ul,5,sprained right knee (DTD),Ducks,C
304,12/9/11,ANA,Saku Koivu,torso,56,lower body injury (DTD),Ducks,C
305,1/18/13,ANA,Sami Vatanen,ll,7,placed on IR with foot injury,Ducks,D
308,2/16/15,ANA,Sami Vatanen,torso,32,placed on IR with lower body injury,Ducks,D
311,11/6/13,ANA,Sami Vatanen,torso,1186,upper body injury (DTD),Ducks,D
314,9/21/07,ANA,Samuel Pahlsson,torso,19,placed on IR with sports hernia,Ducks,C
315,12/27/07,ANA,Samuel Pahlsson,torso,45,abdominal strain (DTD),Ducks,C
316,10/7/14,ANA,Shea Theodore,ua,7,placed on IR with right elbow injury,Ducks,LW
317,11/14/10,ANA,Sheldon Brookbank,ul,44,hamstring injury (DTD),Ducks,RW
318,9/30/13,ANA,Sheldon Souray,la,5,placed on IR with wrist injury (out for season),Ducks,D
320,4/21/13,ANA,Sheldon Souray,torso,21,lower body injury (DTD),Ducks,D
322,10/17/15,ANA,Simon Despres,torso,101,placed on IR with upper body injury,Ducks,G
325,10/23/16,ANA,Simon Despres,torso,3,placed on IR with upper body injury,Ducks,G
328,10/14/16,ANA,Simon Despres,head,59,concussion-like symptoms (DTD),Ducks,G
331,4/22/14,ANA,Stephane Robidas,ll,365,fractured right leg (out for season),Ducks,LW
332,11/19/09,ANA,Steve Eminger,back,18,back injury (DTD),Ducks,LW
333,12/3/09,ANA,Teemu Selanne,la,37,placed on IR with fractured left hand,Ducks,RW
334,1/14/10,ANA,Teemu Selanne,head,18,placed on IR with broken jaw,Ducks,RW
335,10/30/13,ANA,Teemu Selanne,head,7,placed on IR with oral surgery,Ducks,RW
336,12/20/08,ANA,Teemu Selanne,ul,2,lacerated thigh (DTD),Ducks,RW
337,3/15/10,ANA,Teemu Selanne,torso,1,sprained left shoulder (DTD),Ducks,RW
338,11/21/10,ANA,Teemu Selanne,ul,1,groin injury (DTD),Ducks,RW
339,4/19/13,ANA,Teemu Selanne,torso,43,lower body injury (DTD),Ducks,RW
340,12/23/14,ANA,Tim Jackman,torso,8,placed on IR with upper body injury,Ducks,RW
341,3/2/15,ANA,Tim Jackman,torso,37,placed on IR with lower body injury,Ducks,RW
342,4/5/14,ANA,Tim Jackman,la,365,fractured left hand (out for season),Ducks,RW
343,10/15/07,ANA,Todd Bertuzzi,head,37,placed on IR with concussion,Ducks,RW
344,4/4/07,ANA,Todd Marchant,torso,12,abdominal injury (out indefinitely),Ducks,C
345,10/15/07,ANA,Todd Marchant,ll,4,ankle injury (DTD),Ducks,C
346,2/21/08,ANA,Todd Marchant,torso,1,shoulder injury (DTD),Ducks,C
347,4/6/08,ANA,Todd Marchant,ll,1,foot injury (DTD),Ducks,C
348,1/9/09,ANA,Todd Marchant,la,12,finger injury (DTD),Ducks,C
349,11/14/10,ANA,Todd Marchant,torso,27,lower body (Y) / upper body (CBC) injury (DTD),Ducks,C
350,10/6/10,ANA,Toni Lydman,head,8,placed on the injured/non-roster list with eye injury,Ducks,D
354,10/5/11,ANA,Toni Lydman,torso,9,placed on IR with surgery on right shoulder,Ducks,D
358,9/16/10,ANA,Toni Lydman,head,1,double vision (DTD),Ducks,D
362,3/18/12,ANA,Toni Lydman,torso,1,upper body injury (DTD),Ducks,D
366,5/5/13,ANA,Toni Lydman,head,365,head injury (out for season),Ducks,D
370,10/22/13,ANA,Viktor Fasth,torso,23,placed on IR with lower body injury,Ducks,G
371,11/23/13,ANA,Viktor Fasth,torso,30,placed on IR with lower body muscle inflammation,Ducks,G
372,2/17/11,ATL,Alexander Burmistrov,ll,16,placed on IR with cracked bone in left foot,Thrashers,C
373,2/13/11,ATL,Alexander Burmistrov,ll,26,cracked bone in left foot,Thrashers,C
374,10/6/10,ATL,Andrew Kozek,torso,9,placed on IR with surgery to repair hernia,Thrashers,LW
375,1/23/11,ATL,Andrew Ladd,torso,15,lower body injury (DTD),Thrashers,LW
376,4/2/09,ATL,Anssi Salmela,head,35,head injury (DTD),Thrashers,D
377,1/5/11,ATL,Ben Eager,torso,2,placed on IR with lower body injury,Thrashers,LW
378,12/30/10,ATL,Ben Eager,torso,27,lower body injury (DTD),Thrashers,LW
379,2/9/10,ATL,Boris Valabik,ul,1,placed on IR with torn ACL in knee (out for season),Thrashers,RW
382,3/20/09,ATL,Boris Valabik,torso,1,right shoulder injury (DTD),Thrashers,RW
385,10/5/09,ATL,Boris Valabik,ll,10,right leg injury (DTD),Thrashers,RW
391,1/5/09,ATL,Bryan Little,torso,1,rib injury (DTD),Thrashers,C
392,11/14/09,ATL,Bryan Little,ul,9,groin injury (DTD),Thrashers,C
393,10/30/10,ATL,Bryan Little,head,29,concussion and facial lacerations (DTD),Thrashers,C
394,1/16/11,ATL,Chris Mason,ul,19,placed on IR with sprained MCL in right knee,Thrashers,C
396,1/18/10,ATL,Christoph Schubert,torso,7,lower body injry (DTD),Thrashers,LW
398,3/9/10,ATL,Christoph Schubert,ul,365,hip injury (out for season),Thrashers,LW
400,10/6/09,ATL,Colby Armstrong,ul,23,groin injury (DTD),Thrashers,RW
401,11/17/10,ATL,Dustin Byfuglien,ll,1,leg injury (DTD),Thrashers,RW
402,3/9/11,ATL,Dustin Byfuglien,torso,11,lower body injury (DTD),Thrashers,RW
403,3/26/07,ATL,Eric Belanger,ll,13,leg injury (DTD),Thrashers,C
404,3/24/11,ATL,Eric Boulton,torso,11,facial injury (DTD),Thrashers,LW
405,1/12/08,ATL,Eric Perrin,ul,54,knee injury (DTD),Thrashers,C
406,3/18/08,ATL,Erik Christensen,ul,1,sprained MCL in knee (DTD),Thrashers,C
407,9/23/08,ATL,Erik Christensen,torso,71,right shoulder injury (DTD),Thrashers,C
408,1/7/11,ATL,Evander Kane,torso,7,placed on IR with lower body injury,Thrashers,LW
409,3/6/10,ATL,Evander Kane,ll,1,broken left foot (DTD),Thrashers,LW
410,12/2/10,ATL,Evander Kane,ul,9,knee injury (DTD),Thrashers,LW
411,12/30/10,ATL,Evander Kane,ua,13,right arm injury (DTD),Thrashers,LW
412,1/18/11,ATL,Evander Kane,torso,24,lower body injury (DTD),Thrashers,LW
413,4/3/10,ATL,Evgeny Artyukhin,torso,32,upper body injury (DTD),Thrashers,RW
414,2/13/11,ATL,Freddy Meyer,torso,52,placed on IR with upper body injury (out for season),Thrashers,D
416,1/20/11,ATL,Fredrik Modin,torso,3,placed on IR with lower body injury,Thrashers,LW
417,2/17/11,ATL,Fredrik Modin,torso,8,placed on IR with upper body injury,Thrashers,LW
418,11/14/10,ATL,Fredrik Modin,torso,89,upper body injury (DTD),Thrashers,LW
419,12/26/08,ATL,Garnet Exelby,ll,38,placed on IR with right leg injury,Thrashers,D
421,2/6/09,ATL,Garnet Exelby,ll,54,right leg injury (DTD),Thrashers,D
423,1/31/08,ATL,Ilya Kovalchuk,ul,13,knee injury (DTD),Thrashers,LW
425,10/24/09,ATL,Ilya Kovalchuk,ll,32,broken bone in right foot (DTD),Thrashers,LW
426,2/2/09,ATL,Jim Slater,torso,25,placed on IR with shoulder injury,Thrashers,LW
431,10/6/10,ATL,Jim Slater,la,8,placed on IR / injured non-roster list with wrist injury,Thrashers,LW
436,1/7/11,ATL,Jim Slater,head,13,placed on IR with concussion (out for season),Thrashers,LW
441,1/20/09,ATL,Jim Slater,torso,10,shoulder injury (DTD),Thrashers,LW
446,1/2/11,ATL,Jim Slater,head,32,concussion (DTD),Thrashers,LW
452,10/19/07,ATL,Kari Lehtonen,ul,38,placed in IR with groin injury,Thrashers,G
453,11/21/08,ATL,Kari Lehtonen,back,29,placed on IR with back injury,Thrashers,G
454,3/28/09,ATL,Kari Lehtonen,torso,15,upper body injury (DTD),Thrashers,G
455,10/10/07,ATL,Marian Hossa,ul,23,groin injury (DTD),Thrashers,RW
456,12/5/07,ATL,Mark Popovic,ll,12,sprained ankle (DTD),Thrashers,C
459,2/12/10,ATL,Mark Popovic,torso,44,upper body injury (DTD),Thrashers,C
462,11/6/08,ATL,Mathieu Schneider,ul,2,hip flexor injury (DTD),Thrashers,D
464,12/2/08,ATL,Mathieu Schneider,torso,56,upper body injury (DTD),Thrashers,D
466,10/9/08,ATL,Mike Hoffman,la,19,placed on IR with broken right hand,Thrashers,C
468,12/30/10,ATL,Nikolai Antropov,ul,3,placed on IR with hip injury,Thrashers,C
469,1/5/10,ATL,Nikolai Antropov,ul,1,hip injury (DTD),Thrashers,C
470,4/9/10,ATL,Nikolai Antropov,torso,365,lower body injury (out for season),Thrashers,C
471,10/1/09,ATL,Noah Welch,torso,54,placed on IR with shoulder injury,Thrashers,G
472,10/9/10,ATL,Ondrej Pavelec,head,16,placed on IR with concussion,Thrashers,G
473,10/8/10,ATL,Ondrej Pavelec,head,1,concussion (out indefinitely),Thrashers,G
474,2/26/11,ATL,Ondrej Pavelec,la,52,right wrist injury (DTD),Thrashers,G
475,9/27/10,ATL,Patrice Cormier,ll,64,placed on IR with broken right foot,Thrashers,C
476,9/18/10,ATL,Patrice Cormier,ll,13,broken right foot (out indefinitely),Thrashers,C
477,2/23/11,ATL,Patrice Cormier,torso,365,upper body injury (out for season),Thrashers,C
478,11/15/09,ATL,Pavel Kubina,torso,137,lower body injury (DTD),Thrashers,RW
480,3/31/11,ATL,Radek Dvorak,torso,365,upper body injury (out for season),Thrashers,RW
481,3/17/09,ATL,Ron Hainsey,ll,28,leg injury (DTD),Thrashers,RW
482,12/30/08,ATL,Scott Lehman,torso,37,upper body injury (DTD),Thrashers,D
483,3/25/10,ATL,Slava Kozlov,head,22,head injury (DTD),Thrashers,LW
484,1/6/08,ATL,Steve McCarthy,torso,12,strained oblique muscle (DTD),Thrashers,RW
485,2/3/11,ATL,Tobias Enstrom,la,8,placed on IR with hand injury / fractured finger,Thrashers,C
487,1/23/11,ATL,Tobias Enstrom,la,1,hand injury (DTD),Thrashers,C
489,4/3/11,ATL,Tobias Enstrom,torso,365,shoulder injury (out for season),Thrashers,C
491,3/2/08,ATL,Todd White,ua,1,elbow injury (DTD),Thrashers,C
492,11/20/08,ATL,Todd White,head,11,head injury (DTD),Thrashers,C
493,1/14/10,ATL,Todd White,ul,1,right knee injury (DTD),Thrashers,C
494,3/25/10,ATL,Todd White,torso,365,upper body injury (out for season),Thrashers,C
495,10/29/08,ATL,Zach Bogosian,ll,58,placed on IR with broken left leg,Thrashers,LW
498,3/14/10,ATL,Zach Bogosian,la,13,hand injury (DTD),Thrashers,LW
501,10/14/10,ATL,Zach Bogosian,torso,10,shoulder injury (DTD),Thrashers,LW
504,12/31/10,ATL,Zach Bogosian,ul,32,knee injury (DTD),Thrashers,LW
507,11/10/07,BOS,Aaron Ward,head,11,concussion (DTD),Bruins,G
511,12/2/07,BOS,Aaron Ward,ll,1,ankle injury (DTD),Bruins,G
515,4/17/08,BOS,Aaron Ward,ul,12,knee injury (DTD),Bruins,G
519,12/2/08,BOS,Aaron Ward,ll,5,left leg injury (DTD),Bruins,G
523,5/10/09,BOS,Aaron Ward,torso,40,facial injury (DTD),Bruins,G
527,3/23/13,BOS,Adam McQuaid,torso,19,placed on IR with shoulder injury,Bruins,G
532,12/5/13,BOS,Adam McQuaid,torso,18,placed on IR with lower body injury (date 12-08 per CBC T),Bruins,G
537,3/4/14,BOS,Adam McQuaid,torso,12,placed on IR with lower body injury (out for season),Bruins,G
542,11/19/14,BOS,Adam McQuaid,la,45,placed on IR with fractured thumb,Bruins,G
547,1/6/16,BOS,Adam McQuaid,torso,41,placed on IR with upper body injury,Bruins,G
552,10/11/16,BOS,Adam McQuaid,torso,14,placed on IR with upper body injury,Bruins,G
557,5/6/10,BOS,Adam McQuaid,torso,1,lower body injury (DTD),Bruins,G
562,5/2/11,BOS,Adam McQuaid,head,1,sprained neck (DTD),Bruins,G
567,3/13/12,BOS,Adam McQuaid,torso,7,upper body injury (DTD),Bruins,G
572,3/30/12,BOS,Adam McQuaid,head,11,facial laceration / head injury (DTD),Bruins,G
577,3/20/13,BOS,Adam McQuaid,torso,1,strained shoulder (DTD),Bruins,G
582,11/10/13,BOS,Adam McQuaid,ul,8,groin injury (DTD),Bruins,G
587,12/4/13,BOS,Adam McQuaid,torso,1,lower body injury (DTD),Bruins,G
592,1/20/14,BOS,Adam McQuaid,ll,365,leg injury (out for season),Bruins,G
597,12/18/07,BOS,Andrew Alberts,head,42,headache (DTD),Bruins,D
598,11/19/08,BOS,Andrew Ference,ll,69,placed on IR with fractured right tibia,Bruins,LW
603,11/4/07,BOS,Andrew Ference,torso,11,upper body injury (DTD),Bruins,LW
