date,team,player,injury,duration,notes,long_name
2010-12-09,ANA,Aaron Voros,head,55,placed on IR with broken left orbital bone,Ducks
2010-03-29,ANA,Aaron Ward,ll,foot injury (DTD),foot injury (DTD),Ducks
2010-10-09,ANA,Andy Sutton,la,43,placed on IR with broken right thumb,Ducks
2014-10-26,ANA,Ben Lovejoy,la,47,placed on IR with hand injury,Ducks
2008-10-05,ANA,Brad Larsen,torso,-1,placed on IR with sports hernia,Ducks
2007-03-02,ANA,Brad May,torso,1,lower body injury (DTD),Ducks
2007-03-16,ANA,Brad May,ul,1,groin injury (DTD),Ducks
2007-12-18,ANA,Brad May,ll,1,broken right foot (out indefinitely),Ducks
2008-10-31,ANA,Brad May,ul,44,sprained knee (DTD),Ducks
2013-03-11,ANA,Brad Staubitz,torso,5,placed on IR with facial laceration,Ducks
2016-04-03,ANA,Brandon Pirri,torso,365,upper body injury (out for season),Ducks
2008-12-31,ANA,Bret Hedican,torso,59,upper body injury (DTD),Ducks
2009-01-15,ANA,Brett Festerling,ul,knee injury (DTD),knee injury (DTD),Ducks
2007-12-05,ANA,Brian Sutherby,ul,359,groin injury (DTD),Ducks
2014-01-07,ANA,Bryan Allen,torso,10,placed on IR with lower body injury,Ducks
2014-10-14,ANA,Bryan Allen,torso,24,placed on IR with lower body injury,Ducks
2013-11-26,ANA,Bryan Allen,torso,317,lower body injury (DTD),Ducks
2013-02-03,ANA,Cam Fowler,torso,21,placed on IR with upper body injury,Ducks
2015-12-28,ANA,Cam Fowler,ul,36,placed on IR with sprained knee,Ducks
2010-10-18,ANA,Cam Fowler,head,1,broken nose / stiff neck (DTD),Ducks
2013-04-11,ANA,Cam Fowler,torso,1,lower body injury (DTD),Ducks
2014-03-15,ANA,Cam Fowler,ul,1,sprained MCL in knee (DTD),Ducks
2014-11-09,ANA,Cam Fowler,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2007-05-13,ANA,Chris Kunitz,la,1,broken right hand (DTD),Ducks
2007-06-04,ANA,Chris Kunitz,torso,abdominal injury (DTD),abdominal injury (DTD),Ducks
2007-03-07,ANA,Chris Pronger,ll,1,toe injury (out 2-3 weeks),Ducks
2007-09-21,ANA,Chris Pronger,torso,1,separated shoulder (DTD),Ducks
2008-02-27,ANA,Chris Pronger,head,jaw injury (DTD),jaw injury (DTD),Ducks
2016-02-12,ANA,Chris Stewart,head,41,placed on IR with jaw injury,Ducks
2015-04-20,ANA,Chris Wagner,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2015-10-17,ANA,Clayton Stoner,torso,1,placed on IR with lower body injury,Ducks
2016-11-25,ANA,Clayton Stoner,torso,-8,placed on IR with lower body injury,Ducks
2014-12-06,ANA,Corey Perry,ul,25,placed on IR with knee injury,Ducks
2008-03-07,ANA,Corey Perry,ul,1,lacerated right quadriceps tendon (out 6-8 weeks),Ducks
2012-03-10,ANA,Corey Perry,torso,right shoulder injury (DTD),right shoulder injury (DTD),Ducks
2011-12-02,ANA,Dan Ellis,ul,4,placed on IR with groin injury,Ducks
2012-01-07,ANA,Dan Ellis,ul,91,placed on IR with groin injury,Ducks
2011-11-27,ANA,Dan Ellis,ul,groin injury (DTD),groin injury (DTD),Ducks
2010-10-24,ANA,Dan Sexton,head,broken nose (DTD),broken nose (DTD),Ducks
2014-10-06,ANA,Dany Heatley,ul,22,placed on IR with groin injury,Ducks
2014-11-14,ANA,Dany Heatley,ul,31,placed on IR with groin injury,Ducks
2016-03-21,ANA,David Perron,torso,365,shoulder injury (out for season),Ducks
2012-01-06,ANA,Devante Smith-Pelly,ll,31,placed on IR with fractured left foot,Ducks
2014-11-15,ANA,Devante Smith-Pelly,torso,5,placed on IR with upper body injury,Ducks
2011-12-26,ANA,Devante Smith-Pelly,ll,3000,fractured left foot (out indefinitely),Ducks
2008-02-10,ANA,Doug Weight,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2007-11-25,ANA,Drew Miller,ul,knee injury (DTD),knee injury (DTD),Ducks
2013-10-13,ANA,Dustin Penner,torso,1,lower (CBC) / upper (Y) body injury (DTD),Ducks
2013-10-21,ANA,Dustin Penner,head,1,concussion (DTD),Ducks
2014-01-07,ANA,Dustin Penner,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2013-09-30,ANA,Emerson Etem,ll,10,placed on IR with leg injury,Ducks
2014-12-02,ANA,Eric Brewer,ll,58,placed on IR with fractured foot (date 12-05 per CBC),Ducks
2013-11-22,ANA,Francois Beauchemin,torso,1,placed on IR with upper body injury,Ducks
2014-11-28,ANA,Francois Beauchemin,la,29,placed on IR with fractured finger,Ducks
2008-11-15,ANA,Francois Beauchemin,ul,1,torn ACL in left knee (out for season),Ducks
2013-11-21,ANA,Francois Beauchemin,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2015-02-09,ANA,Frederik Andersen,head,1,placed on IR with head injury,Ducks
2014-04-05,ANA,Frederik Andersen,torso,1,upper body injury (DTD),Ducks
2014-11-02,ANA,Frederik Andersen,ll,1,leg injury (DTD),Ducks
2016-01-17,ANA,Frederik Andersen,torso,1,upper body injury (DTD),Ducks
2016-04-01,ANA,Frederik Andersen,head,concussion (DTD),concussion (DTD),Ducks
2011-11-05,ANA,George Parros,head,31,placed on IR with torn retina in left eye,Ducks
2012-01-06,ANA,George Parros,ul,6,placed on IR with strained groin,Ducks
2008-01-13,ANA,George Parros,ul,1,bruised right knee (DTD),Ducks
2008-11-01,ANA,George Parros,head,1,right eye injury (DTD),Ducks
2010-01-09,ANA,George Parros,la,1,hand injury (DTD),Ducks
2010-03-15,ANA,George Parros,head,1,bruised head (DTD),Ducks
2012-01-04,ANA,George Parros,ul,groin injury (DTD),groin injury (DTD),Ducks
2013-02-06,ANA,Hampus Lindholm,head,12,placed on IR with concussion,Ducks
2014-04-27,ANA,Hampus Lindholm,head,1,stiff neck (DTD),Ducks
2014-12-19,ANA,Hampus Lindholm,torso,337,lower body injury (DTD),Ducks
2010-04-02,ANA,Jake Newton,head,365,placed on IR with broken jaw (out for season),Ducks
2013-10-26,ANA,Jakob Silfverberg,la,52,placed on IR with fractured hand (CBC CBS Y),Ducks
2017-01-20,ANA,Jakob Silfverberg,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2009-10-11,ANA,James Wisniewski,torso,10,placed on IR with sprained right shoulder,Ducks
2009-03-13,ANA,James Wisniewski,torso,1,upper body injury (DTD),Ducks
2015-03-02,ANA,James Wisniewski,ll,left foot injury (DTD),left foot injury (DTD),Ducks
2011-10-15,ANA,Jason Blake,head,81,placed on IR with lacerated left forearm,Ducks
2012-01-31,ANA,Jason Blake,torso,3,placed on IR with lower body injury,Ducks
2011-01-03,ANA,Jason Blake,torso,1,shoulder injury (DTD),Ducks
2011-03-04,ANA,Jason Blake,la,lacerated hand (DTD),lacerated hand (DTD),Ducks
2010-09-19,ANA,Jason Jaffray,ul,3000,torn ACL and sprained MCL in left knee (out indefinitely),Ducks
2014-11-30,ANA,Jason LaBarbera,la,11,"placed on IR with fractured hand (date 11-30 per Y, 12-01 per CBC)",Ducks
2009-10-21,ANA,Jean-Sebastien Giguere,ul,19,placed on IR with strained groin (date approximate),Ducks
2007-09-21,ANA,Jean-Sebastien Giguere,torso,183,hernia (DTD),Ducks
2015-11-02,ANA,Jiri Sekac,torso,45,placed on IR with lower body injury,Ducks
2009-11-25,ANA,Joffrey Lupul,torso,9,placed on IR with back injury,Ducks
2010-10-06,ANA,Joffrey Lupul,torso,60,placed on IR recovering from surgery on back,Ducks
2009-12-11,ANA,Joffrey Lupul,ll,1,leg injury (DTD),Ducks
2010-09-14,ANA,Joffrey Lupul,torso,3,blood infection in back (DTD),Ducks
2014-11-02,ANA,John Gibson,ul,45,placed on IR with groin injury,Ducks
2017-02-22,ANA,John Gibson,torso,18,placed on IR with lower body injury,Ducks
2011-02-16,ANA,Jonas Hiller,head,35,placed on IR with fatigue/dizziness,Ducks
2010-03-29,ANA,Jonas Hiller,torso,1048,back spasms (DTD),Ducks
2016-10-26,ANA,Jonathan Bernier,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2016-11-25,ANA,Joseph Cramarossa,torso,9,placed on IR with lower body injury,Ducks
2016-11-18,ANA,Joseph Cramarossa,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2015-10-23,ANA,Josh Manson,torso,12,placed on IR with upper body injury,Ducks
2016-04-16,ANA,Josh Manson,head,365,head injury (out for season),Ducks
2009-01-01,ANA,Kent Huskins,ll,1,placed on IR with broken right foot,Ducks
2007-12-07,ANA,Kent Huskins,ul,bruised knee (DTD),bruised knee (DTD),Ducks
2015-10-05,ANA,Kenton Helgesen,ll,71,placed on IR with foot injury,Ducks
2016-03-14,ANA,Kevin Bieksa,torso,281,lower body injury (DTD),Ducks
2015-03-02,ANA,Korbinian Holzer,head,365,concussion (out for season),Ducks
2011-09-19,ANA,Kurtis Foster,ul,3000,left thigh injury (out indefinitely),Ducks
2009-11-29,ANA,Kyle Calder,head,12,placed on IR with hyphema in left eye,Ducks
2010-11-02,ANA,Kyle Chipchura,head,24,placed on IR with concussion,Ducks
2010-11-29,ANA,Kyle Chipchura,head,concussion (DTD),concussion (DTD),Ducks
2013-03-10,ANA,Kyle Palmieri,torso,1,placed on IR with upper body injury,Ducks
2014-12-17,ANA,Kyle Palmieri,torso,16,placed on IR with shoulder injury,Ducks
2013-03-03,ANA,Kyle Palmieri,torso,218,upper body injury (DTD),Ducks
2011-11-12,ANA,Lubomir Visnovsky,la,32,placed on IR with broken finger,Ducks
2010-04-07,ANA,Lubomir Visnovsky,la,1,fractured right hand (out for season),Ducks
2010-11-27,ANA,Lubomir Visnovsky,torso,497,back injury (DTD),Ducks
2013-09-30,ANA,Luca Sbisa,ll,35,placed on IR with sprained left ankle,Ducks
2013-11-23,ANA,Luca Sbisa,la,59,placed on IR with torn tendon in right hand,Ducks
2012-03-12,ANA,Luca Sbisa,torso,1,back spasms (DTD),Ducks
2013-09-19,ANA,Luca Sbisa,ll,1,sprained ankle (DTD),Ducks
2014-03-10,ANA,Luca Sbisa,torso,30,lower body injury (DTD),Ducks
2014-02-02,ANA,Mark Fistric,torso,24,placed on IR with lower body injury,Ducks
2014-04-13,ANA,Mark Fistric,torso,10,placed on IR with lower body injury,Ducks
2014-10-31,ANA,Mark Fistric,torso,33,placed on IR with upper body injury,Ducks
2013-12-10,ANA,Mark Fistric,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2013-12-04,ANA,Mathieu Perreault,torso,11,placed on IR with lower body injury,Ducks
2014-03-05,ANA,Mathieu Perreault,ua,7,placed on IR with arm injury,Ducks
2013-10-27,ANA,Mathieu Perreault,la,1,sprained left wrist (DTD),Ducks
2014-01-18,ANA,Mathieu Perreault,torso,1,lower body injury (DTD),Ducks
2014-02-28,ANA,Mathieu Perreault,ll,1,left ankle injury (DTD),Ducks
2014-03-02,ANA,Mathieu Perreault,ua,1,arm injury (DTD),Ducks
2014-04-27,ANA,Mathieu Perreault,torso,13,lower body injury (DTD),Ducks
2007-09-16,ANA,Mathieu Schneider,ll,1,left ankle injury (out indefinitely),Ducks
2007-11-15,ANA,Mathieu Schneider,ul,1,hip injury (DTD),Ducks
2008-02-01,ANA,Mathieu Schneider,la,sprained wrist (DTD),sprained wrist (DTD),Ducks
2010-10-27,ANA,Matt Beleskey,head,887,placed on IR with concussion,Ducks
2013-10-10,ANA,Matt Beleskey,torso,39,placed on IR with upper body injury,Ducks
2015-02-16,ANA,Matt Beleskey,torso,23,placed on IR with upper body injury,Ducks
2011-10-07,ANA,Matt Beleskey,torso,1,surgery on left shoulder (DTD),Ducks
2012-01-21,ANA,Matt Beleskey,la,1,swollen right hand (DTD),Ducks
2014-04-18,ANA,Matt Beleskey,torso,345,lower body injury (DTD),Ducks
2011-10-01,ANA,Matt Smaby,la,97,placed on IR with surgery on right thumb to repair torn ligament,Ducks
2009-12-13,ANA,Mike Brown,torso,upper body injury (DTD),upper body injury (DTD),Ducks
2015-10-05,ANA,Nate Thompson,torso,58,placed on IR with surgery on shoulder,Ducks
2016-10-11,ANA,Nate Thompson,ll,112,placed on IR with surgery on Achilles,Ducks
2015-02-24,ANA,Nate Thompson,torso,384,lower body injury (DTD),Ducks
2012-03-25,ANA,Nathan Guenin,torso,365,facial injury (out for season),Ducks
2013-03-10,ANA,Nick Bonino,torso,42,placed on IR with flu / lower body injury (CBC),Ducks
2014-01-31,ANA,Nick Bonino,torso,28,placed on IR with upper body injury,Ducks
2010-12-21,ANA,Nick Bonino,ll,1,bruised right foot (DTD),Ducks
2011-11-02,ANA,Nick Bonino,ul,1,hyper-extended knee (DTD),Ducks
2012-03-10,ANA,Nick Bonino,ll,1,leg inijury (DTD),Ducks
2014-03-20,ANA,Nick Bonino,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2016-11-02,ANA,Nick Ritchie,torso,127,upper body injury (DTD),Ducks
2016-10-11,ANA,Nicolas Kerdiles,head,108,placed on injured/non-roster list / IR with concussion,Ducks
2014-10-14,ANA,Patrick Maroon,ul,17,placed on IR with sprained right knee,Ducks
2013-10-02,ANA,Peter Holland,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2009-04-25,ANA,Petteri Nokelainen,torso,161,upper body injury (DTD),Ducks
2011-04-07,ANA,Ray Emery,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2007-03-23,ANA,Richard Jackman,torso,3000,back spasms (out indefinitely),Ducks
2015-11-05,ANA,Rickard Rakell,torso,395,upper body injury (DTD),Ducks
2008-01-15,ANA,Rob Niedermayer,ul,1,groin injury (DTD),Ducks
2008-04-15,ANA,Rob Niedermayer,head,365,concussion (out for season),Ducks
2009-11-20,ANA,Ryan Carter,ll,39,placed on IR with broken right foot,Ducks
2008-02-21,ANA,Ryan Carter,la,1,broken wrist (out indefinitely),Ducks
2009-10-21,ANA,Ryan Carter,ll,23,bruised foot (DTD) / out indefinitely (CBC),Ducks
2010-12-29,ANA,Ryan Getzlaf,head,1,placed on IR with nasal sinus fractures,Ducks
2007-10-25,ANA,Ryan Getzlaf,head,1,forearm injury (DTD),Ducks
2008-03-22,ANA,Ryan Getzlaf,torso,1,shoulder injury (DTD),Ducks
2008-10-21,ANA,Ryan Getzlaf,head,1,mouth injury (DTD),Ducks
2009-12-26,ANA,Ryan Getzlaf,ll,1,lacerated leg (DTD),Ducks
2013-04-04,ANA,Ryan Getzlaf,torso,1,lower body injury (DTD),Ducks
2014-01-12,ANA,Ryan Getzlaf,ll,1,foot injury (DTD),Ducks
2014-04-23,ANA,Ryan Getzlaf,torso,985,upper body injury (DTD),Ducks
2015-04-01,ANA,Ryan Kesler,torso,375,upper body injury (DTD),Ducks
2011-02-27,ANA,Saku Koivu,ul,10,placed on IR with groin injury,Ducks
2011-12-14,ANA,Saku Koivu,torso,17,placed on IR with lower body injury,Ducks
2013-10-28,ANA,Saku Koivu,head,32,placed on IR with concussion,Ducks
2009-11-11,ANA,Saku Koivu,torso,1,lower body injury (DTD),Ducks
2010-01-15,ANA,Saku Koivu,ul,1,sprained right knee (DTD),Ducks
2011-12-09,ANA,Saku Koivu,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2013-01-18,ANA,Sami Vatanen,ll,7,placed on IR with foot injury,Ducks
2015-02-16,ANA,Sami Vatanen,torso,32,placed on IR with lower body injury,Ducks
2013-11-06,ANA,Sami Vatanen,torso,1186,upper body injury (DTD),Ducks
2007-09-21,ANA,Samuel Pahlsson,torso,19,placed on IR with sports hernia,Ducks
2007-12-27,ANA,Samuel Pahlsson,torso,abdominal strain (DTD),abdominal strain (DTD),Ducks
2014-10-07,ANA,Shea Theodore,ua,placed on IR with right elbow injury,placed on IR with right elbow injury,Ducks
2010-11-14,ANA,Sheldon Brookbank,ul,hamstring injury (DTD),hamstring injury (DTD),Ducks
2013-09-30,ANA,Sheldon Souray,la,1,placed on IR with wrist injury (out for season),Ducks
2013-04-21,ANA,Sheldon Souray,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2015-10-17,ANA,Simon Despres,torso,101,placed on IR with upper body injury,Ducks
2016-10-23,ANA,Simon Despres,torso,1,placed on IR with upper body injury,Ducks
2016-10-14,ANA,Simon Despres,head,concussion-like symptoms (DTD),concussion-like symptoms (DTD),Ducks
2014-04-22,ANA,Stephane Robidas,ll,365,fractured right leg (out for season),Ducks
2009-11-19,ANA,Steve Eminger,torso,back injury (DTD),back injury (DTD),Ducks
2009-12-03,ANA,Teemu Selanne,la,37,placed on IR with fractured left hand,Ducks
2010-01-14,ANA,Teemu Selanne,head,18,placed on IR with broken jaw,Ducks
2013-10-30,ANA,Teemu Selanne,head,7,placed on IR with oral surgery,Ducks
2008-12-20,ANA,Teemu Selanne,ul,1,lacerated thigh (DTD),Ducks
2010-03-15,ANA,Teemu Selanne,torso,1,sprained left shoulder (DTD),Ducks
2010-11-21,ANA,Teemu Selanne,ul,1,groin injury (DTD),Ducks
2013-04-19,ANA,Teemu Selanne,torso,lower body injury (DTD),lower body injury (DTD),Ducks
2014-12-23,ANA,Tim Jackman,torso,8,placed on IR with upper body injury,Ducks
2015-03-02,ANA,Tim Jackman,torso,37,placed on IR with lower body injury,Ducks
2014-04-05,ANA,Tim Jackman,la,365,fractured left hand (out for season),Ducks
2007-10-15,ANA,Todd Bertuzzi,head,37,placed on IR with concussion,Ducks
2007-04-04,ANA,Todd Marchant,torso,1,abdominal injury (out indefinitely),Ducks
2007-10-15,ANA,Todd Marchant,ll,1,ankle injury (DTD),Ducks
2008-02-21,ANA,Todd Marchant,torso,1,shoulder injury (DTD),Ducks
2008-04-06,ANA,Todd Marchant,ll,1,foot injury (DTD),Ducks
2009-01-09,ANA,Todd Marchant,la,1,finger injury (DTD),Ducks
2010-11-14,ANA,Todd Marchant,torso,lower body (Y) / upper body (CBC) injury (DTD),lower body (Y) / upper body (CBC) injury (DTD),Ducks
2010-10-06,ANA,Toni Lydman,head,8,placed on the injured/non-roster list with eye injury,Ducks
2011-10-05,ANA,Toni Lydman,torso,9,placed on IR with surgery on right shoulder,Ducks
2010-09-16,ANA,Toni Lydman,head,1,double vision (DTD),Ducks
2012-03-18,ANA,Toni Lydman,torso,1,upper body injury (DTD),Ducks
2013-05-05,ANA,Toni Lydman,head,365,head injury (out for season),Ducks
2013-10-22,ANA,Viktor Fasth,torso,23,placed on IR with lower body injury,Ducks
2013-11-23,ANA,Viktor Fasth,torso,-36,placed on IR with lower body muscle inflammation,Ducks
2011-02-17,ATL,Alexander Burmistrov,ll,16,placed on IR with cracked bone in left foot,Thrashers
2011-02-13,ATL,Alexander Burmistrov,ll,cracked bone in left foot,cracked bone in left foot,Thrashers
2010-10-06,ATL,Andrew Kozek,torso,9,placed on IR with surgery to repair hernia,Thrashers
2011-01-23,ATL,Andrew Ladd,torso,lower body injury (DTD),lower body injury (DTD),Thrashers
2009-04-02,ATL,Anssi Salmela,head,head injury (DTD),head injury (DTD),Thrashers
2011-01-05,ATL,Ben Eager,torso,2,placed on IR with lower body injury,Thrashers
2010-12-30,ATL,Ben Eager,torso,lower body injury (DTD),lower body injury (DTD),Thrashers
2010-02-09,ATL,Boris Valabik,ul,1,placed on IR with torn ACL in knee (out for season),Thrashers
2009-03-20,ATL,Boris Valabik,torso,1,right shoulder injury (DTD),Thrashers
2009-10-05,ATL,Boris Valabik,ll,1,right leg injury (DTD),Thrashers
2010-02-05,ATL,Boris Valabik,ul,3000,torn ACL in knee (out indefinitely),Thrashers
2009-01-05,ATL,Bryan Little,torso,1,rib injury (DTD),Thrashers
2009-11-14,ATL,Bryan Little,ul,1,groin injury (DTD),Thrashers
2010-10-30,ATL,Bryan Little,head,concussion and facial lacerations (DTD),concussion and facial lacerations (DTD),Thrashers
2011-01-16,ATL,Chris Mason,ul,19,placed on IR with sprained MCL in right knee,Thrashers
2010-01-18,ATL,Christoph Schubert,torso,1,lower body injry (DTD),Thrashers
2010-03-09,ATL,Christoph Schubert,ul,365,hip injury (out for season),Thrashers
2009-10-06,ATL,Colby Armstrong,ul,groin injury (DTD),groin injury (DTD),Thrashers
2010-11-17,ATL,Dustin Byfuglien,ll,1,leg injury (DTD),Thrashers
2011-03-09,ATL,Dustin Byfuglien,torso,lower body injury (DTD),lower body injury (DTD),Thrashers
2007-03-26,ATL,Eric Belanger,ll,leg injury (DTD),leg injury (DTD),Thrashers
2011-03-24,ATL,Eric Boulton,torso,facial injury (DTD),facial injury (DTD),Thrashers
2008-01-12,ATL,Eric Perrin,ul,knee injury (DTD),knee injury (DTD),Thrashers
2008-03-18,ATL,Erik Christensen,ul,1,sprained MCL in knee (DTD),Thrashers
2008-09-23,ATL,Erik Christensen,torso,71,right shoulder injury (DTD),Thrashers
2011-01-07,ATL,Evander Kane,torso,7,placed on IR with lower body injury,Thrashers
2010-03-06,ATL,Evander Kane,ll,1,broken left foot (DTD),Thrashers
2010-12-02,ATL,Evander Kane,ul,1,knee injury (DTD),Thrashers
2010-12-30,ATL,Evander Kane,ua,1,right arm injury (DTD),Thrashers
2011-01-18,ATL,Evander Kane,torso,lower body injury (DTD),lower body injury (DTD),Thrashers
2010-04-03,ATL,Evgeny Artyukhin,torso,upper body injury (DTD),upper body injury (DTD),Thrashers
2011-02-13,ATL,Freddy Meyer,torso,-9,placed on IR with upper body injury (out for season),Thrashers
2011-01-20,ATL,Fredrik Modin,torso,3,placed on IR with lower body injury,Thrashers
2011-02-17,ATL,Fredrik Modin,torso,8,placed on IR with upper body injury,Thrashers
2010-11-14,ATL,Fredrik Modin,torso,89,upper body injury (DTD),Thrashers
2008-12-26,ATL,Garnet Exelby,ll,38,placed on IR with right leg injury,Thrashers
2009-02-06,ATL,Garnet Exelby,ll,right leg injury (DTD),right leg injury (DTD),Thrashers
2008-01-31,ATL,Ilya Kovalchuk,ul,1,knee injury (DTD),Thrashers
2009-03-13,ATL,Ilya Kovalchuk,torso,1,upper body injury (DTD),Thrashers
2009-10-24,ATL,Ilya Kovalchuk,ll,broken bone in right foot (DTD),broken bone in right foot (DTD),Thrashers
2009-02-02,ATL,Jim Slater,torso,25,placed on IR with shoulder injury,Thrashers
2010-10-06,ATL,Jim Slater,la,8,placed on IR / injured non-roster list with wrist injury,Thrashers
2011-01-07,ATL,Jim Slater,head,1,placed on IR with concussion (out for season),Thrashers
2009-01-20,ATL,Jim Slater,torso,1,shoulder injury (DTD),Thrashers
2011-01-02,ATL,Jim Slater,head,concussion (DTD),concussion (DTD),Thrashers
2007-03-23,ATL,Jon Sim,head,3000,orbital fracture (out indefinitely),Thrashers
2007-10-19,ATL,Kari Lehtonen,ul,38,placed in IR with groin injury,Thrashers
2008-11-21,ATL,Kari Lehtonen,torso,29,placed on IR with back injury,Thrashers
2009-03-28,ATL,Kari Lehtonen,torso,upper body injury (DTD),upper body injury (DTD),Thrashers
2007-10-10,ATL,Marian Hossa,ul,groin injury (DTD),groin injury (DTD),Thrashers
2007-12-05,ATL,Mark Popovic,ll,1,sprained ankle (DTD),Thrashers
2010-02-12,ATL,Mark Popovic,torso,upper body injury (DTD),upper body injury (DTD),Thrashers
2008-11-06,ATL,Mathieu Schneider,ul,1,hip flexor injury (DTD),Thrashers
2008-12-02,ATL,Mathieu Schneider,torso,upper body injury (DTD),upper body injury (DTD),Thrashers
2008-10-09,ATL,Mike Hoffman,la,19,placed on IR with broken right hand,Thrashers
2010-12-30,ATL,Nikolai Antropov,ul,3,placed on IR with hip injury,Thrashers
2010-01-05,ATL,Nikolai Antropov,ul,1,hip injury (DTD),Thrashers
2010-04-09,ATL,Nikolai Antropov,torso,365,lower body injury (out for season),Thrashers
2009-10-01,ATL,Noah Welch,torso,placed on IR with shoulder injury,placed on IR with shoulder injury,Thrashers
2010-10-09,ATL,Ondrej Pavelec,head,16,placed on IR with concussion,Thrashers
2010-10-08,ATL,Ondrej Pavelec,head,1,concussion (out indefinitely),Thrashers
2011-02-26,ATL,Ondrej Pavelec,la,right wrist injury (DTD),right wrist injury (DTD),Thrashers
2010-09-27,ATL,Patrice Cormier,ll,64,placed on IR with broken right foot,Thrashers
2010-09-18,ATL,Patrice Cormier,ll,1,broken right foot (out indefinitely),Thrashers
2011-02-23,ATL,Patrice Cormier,torso,365,upper body injury (out for season),Thrashers
2009-11-15,ATL,Pavel Kubina,torso,137,lower body injury (DTD),Thrashers
2011-03-31,ATL,Radek Dvorak,torso,365,upper body injury (out for season),Thrashers
2009-03-17,ATL,Ron Hainsey,ll,leg injury (DTD),leg injury (DTD),Thrashers
2008-12-30,ATL,Scott Lehman,torso,upper body injury (DTD),upper body injury (DTD),Thrashers
2010-03-25,ATL,Slava Kozlov,head,head injury (DTD),head injury (DTD),Thrashers
2008-01-06,ATL,Steve McCarthy,torso,strained oblique muscle (DTD),strained oblique muscle (DTD),Thrashers
2011-02-03,ATL,Tobias Enstrom,la,8,placed on IR with hand injury / fractured finger,Thrashers
2011-01-23,ATL,Tobias Enstrom,la,1,hand injury (DTD),Thrashers
2011-04-03,ATL,Tobias Enstrom,torso,365,shoulder injury (out for season),Thrashers
2008-03-02,ATL,Todd White,ua,1,elbow injury (DTD),Thrashers
2008-11-20,ATL,Todd White,head,1,head injury (DTD),Thrashers
2010-01-14,ATL,Todd White,ul,1,right knee injury (DTD),Thrashers
2010-03-25,ATL,Todd White,torso,365,upper body injury (out for season),Thrashers
2008-10-29,ATL,Zach Bogosian,ll,58,placed on IR with broken left leg,Thrashers
2010-03-14,ATL,Zach Bogosian,la,1,hand injury (DTD),Thrashers
2010-10-14,ATL,Zach Bogosian,torso,1,shoulder injury (DTD),Thrashers
2010-12-31,ATL,Zach Bogosian,ul,knee injury (DTD),knee injury (DTD),Thrashers
2007-11-10,BOS,Aaron Ward,head,1,concussion (DTD),Bruins
2007-12-02,BOS,Aaron Ward,ll,1,ankle injury (DTD),Bruins
2008-04-17,BOS,Aaron Ward,ul,1,knee injury (DTD),Bruins
2008-12-02,BOS,Aaron Ward,ll,1,left leg injury (DTD),Bruins
2009-05-10,BOS,Aaron Ward,torso,facial injury (DTD),facial injury (DTD),Bruins
2013-03-23,BOS,Adam McQuaid,torso,19,placed on IR with shoulder injury,Bruins
2013-12-05,BOS,Adam McQuaid,torso,18,placed on IR with lower body injury (date 12-08 per CBC T),Bruins
2014-03-04,BOS,Adam McQuaid,torso,1,placed on IR with lower body injury (out for season),Bruins
2014-11-19,BOS,Adam McQuaid,la,45,placed on IR with fractured thumb,Bruins
2016-01-06,BOS,Adam McQuaid,torso,41,placed on IR with upper body injury,Bruins
2016-10-11,BOS,Adam McQuaid,torso,14,placed on IR with upper body injury,Bruins
2010-05-06,BOS,Adam McQuaid,torso,1,lower body injury (DTD),Bruins
2011-05-02,BOS,Adam McQuaid,head,1,sprained neck (DTD),Bruins
2012-03-13,BOS,Adam McQuaid,torso,1,upper body injury (DTD),Bruins
2012-03-30,BOS,Adam McQuaid,head,1,facial laceration / head injury (DTD),Bruins
2013-03-20,BOS,Adam McQuaid,torso,1,strained shoulder (DTD),Bruins
2013-11-10,BOS,Adam McQuaid,ul,1,groin injury (DTD),Bruins
2013-12-04,BOS,Adam McQuaid,torso,1,lower body injury (DTD),Bruins
2014-01-20,BOS,Adam McQuaid,ll,365,leg injury (out for season),Bruins
2007-12-18,BOS,Andrew Alberts,head,headache (DTD),headache (DTD),Bruins
2008-11-19,BOS,Andrew Ference,ll,69,placed on IR with fractured right tibia,Bruins
2007-11-04,BOS,Andrew Ference,torso,1,upper body injury (DTD),Bruins
2007-11-17,BOS,Andrew Ference,ul,1,sprained knee (DTD),Bruins
2008-03-25,BOS,Andrew Ference,ll,1,leg injury (DTD),Bruins
2009-05-08,BOS,Andrew Ference,torso,1,lower body injury (out for season),Bruins
2010-01-05,BOS,Andrew Ference,ul,1,groin injury (DTD),Bruins
